,name,t0,t1,armor,artist,attack,cardClass,classes,collectible,collectionText,cost,dbfId,durability,elite,entourage,faction,flavor,health,hideStats,howToEarn,howToEarnGolden,id,mechanics,multiClassGroup,overload,playRequirements,playerClass,race,rarity,referencedTags,set,spellDamage,targetingArrowText,text,type,card_class_num,cardwin,w,winrates
13,Adaptation,31.42370224,-29.8770141602,,Hideaki Takamura,,PALADIN,,1.0,,1.0,41944.0,,,,,"Pray for salvation. If that fails, pray for extra horns or bigger teeth.",,,,,UNG_961,,,,"{u'REQ_FRIENDLY_TARGET': 0, u'REQ_MINION_TARGET': 0, u'REQ_TARGET_TO_PLAY': 0}",PALADIN,,COMMON,[ADAPT],UNGORO,,,<b>Adapt</b> a friendly minion.,SPELL,1,220.0,552,0.398550724638
14,Addled Grizzly,-15.6683397293,-35.1290092468,,Andrew Hou,2.0,DRUID,,1.0,,3.0,38916.0,,,,,"Druids who spend too long in bear form are more susceptible to the whispers of the Old Gods.  Right now they are whispering the lyrics to ""La Bamba"".",2.0,,,,OG_313,,,,,DRUID,BEAST,RARE,,OG,,,"After you summon a minion, give it +1/+1.",MINION,5,166.0,406,0.408866995074
15,Air Elemental,40.3585319519,-1.85546159744,,Evgeniy Dlinnov,2.0,SHAMAN,,1.0,,1.0,41152.0,,,,HORDE,Makes a mean puff pastry.,1.0,,,,UNG_019,"[CANT_BE_TARGETED_BY_SPELLS, CANT_BE_TARGETED_BY_HERO_POWERS]",,,,SHAMAN,ELEMENTAL,COMMON,,UNGORO,,,Can't be targeted by spells or Hero Powers.,MINION,6,69.0,194,0.355670103093
16,Al'Akir the Windlord,47.4799003601,-1.48989796638,,Raymond Swanland,3.0,SHAMAN,,1.0,,8.0,32.0,,1.0,,,He is the weakest of the four Elemental Lords.  And the other three don't let him forget it.,5.0,,,,NEW1_010,"[CHARGE, DIVINE_SHIELD, TAUNT, WINDFURY]",,,,SHAMAN,ELEMENTAL,LEGENDARY,,EXPERT1,,,"<b>Windfury, Charge, Divine Shield, Taunt</b>",MINION,6,1303.0,2266,0.575022065313
17,Alarm-o-Bot,-8.51190662384,-14.7202100754,,Sean O’Daniels,0.0,NEUTRAL,,1.0,,3.0,1658.0,,,,,WARNING.  WARNING.  WARNING.,3.0,,,,EX1_006,,,,,NEUTRAL,MECHANICAL,RARE,,EXPERT1,,,"[x]At the start of your turn,
swap this minion with a
   random one in your hand.",MINION,0,50.0,108,0.462962962963
18,Aldor Peacekeeper,28.0817165375,-35.4148101807,,Dany Orizio,3.0,PALADIN,,1.0,,3.0,1167.0,,,,,The Aldor hate two things: the Scryers and smooth jazz.,3.0,,,,EX1_382,[BATTLECRY],,,"{u'REQ_TARGET_IF_AVAILABLE': 0, u'REQ_MINION_TARGET': 0, u'REQ_ENEMY_TARGET': 0}",PALADIN,,RARE,,EXPERT1,,Change Attack to 1.,<b>Battlecry:</b> Change an enemy minion's Attack to 1.,MINION,1,5117.0,10715,0.477554829678
19,Alexstrasza,-3.7706193924,9.15519046783,,Raymond Swanland,8.0,NEUTRAL,,1.0,,9.0,581.0,,1.0,,,Alexstrasza the Life-Binder brings life and hope to everyone.  Except Deathwing.  And Malygos.  And Nekros.,8.0,,,,EX1_561,[BATTLECRY],,,"{u'REQ_TARGET_IF_AVAILABLE': 0, u'REQ_HERO_TARGET': 0}",NEUTRAL,DRAGON,LEGENDARY,,EXPERT1,,Set Health to 15.,<b>Battlecry:</b> Set a hero's remaining Health to 15.,MINION,0,5546.0,8837,0.62758854815
20,Alexstrasza's Champion,4.09599542618,31.3858108521,,Evgeniy Zagumennyy,2.0,WARRIOR,,1.0,,2.0,2758.0,,,,,"""Put more spikes on her.  No, more spikes.  What part of 'more spikes' do you not understand?  MORE SPIKES!"" - Alexstrasza",3.0,,,,AT_071,[BATTLECRY],,,,WARRIOR,,RARE,[CHARGE],TGT,,,"<b>Battlecry:</b> If you're holding a Dragon, gain +1 Attack and <b>Charge</b>.",MINION,7,6103.0,11077,0.550961451657
21,Alleria Windrunner,10.4251852036,4.15240478516,,,,HUNTER,,1.0,,,2826.0,,,,,,30.0,,,,HERO_05a,,,,,HUNTER,,EPIC,,HERO_SKINS,,,,HERO,2,1.0,1,1.0
22,Alley Armorsmith,8.5984544754,38.3663978577,,Rafael Zanchetin,2.0,WARRIOR,,1.0,,5.0,40574.0,,,,,The rent is cheap and she passes the savings onto YOU!,7.0,,,,CFM_756,[TAUNT],,,,WARRIOR,,RARE,,GANGS,,,"[x]<b>Taunt</b>
Whenever this minion
deals damage, gain
that much Armor.",MINION,7,4835.0,8777,0.550871596217
23,Alleycat,-32.2384300232,-34.8915672302,,Anton Zemskov,1.0,HUNTER,,1.0,,1.0,40426.0,,,,,"To be a cool cat in Gadgetzan, you gotta have bling.",1.0,,,,CFM_315,[BATTLECRY],,,,HUNTER,BEAST,COMMON,,GANGS,,,<b>Battlecry:</b> Summon a 1/1 Cat.,MINION,2,5122.0,10589,0.483709509869
24,Am'gam Rager,-1.3922226429,0.509537160397,,Matt Gaser,1.0,NEUTRAL,,1.0,,3.0,38782.0,,,,,peerc rewop,5.0,,,,OG_248,,,,,NEUTRAL,,COMMON,,OG,,,,MINION,0,4.0,9,0.444444444444
25,Amani Berserker,6.33090639114,19.8795604706,,Chippy,2.0,NEUTRAL,,1.0,,2.0,790.0,,,,,"If an Amani berserker asks ""Joo lookin' at me?!"", the correct response is ""Nah, mon"".",3.0,,,,EX1_393,[ENRAGED],,,,NEUTRAL,,COMMON,,EXPERT1,,,<b>Enrage:</b> +3 Attack,MINION,0,127.0,343,0.370262390671
26,Ambush!,2.48418998718,-5.12562131882,,,,ROGUE,,,,0.0,2847.0,,,,,,,,,,AT_035t,[TOPDECK],,,,ROGUE,,,,TGT,,,"When you draw this, summon a 4/4 Nerubian for your opponent. Draw a card.",SPELL,8,6.0,8,0.75
27,Ancestor's Call,46.1945571899,3.96191811562,,Dan Scott,,SHAMAN,,1.0,,4.0,1998.0,,,,,"""Hey! Ancestors!"" - Ancestor's call",,,,,GVG_029,,,,,SHAMAN,,EPIC,,GVG,,,Put a random minion from each player's hand into the battlefield.,SPELL,6,50.0,89,0.561797752809
28,Ancestral Healing,40.7254219055,9.55285644531,,Dan Scott,,SHAMAN,,1.0,,0.0,149.0,,,,,"I personally prefer some non-ancestral right-the-heck-now healing, but maybe that is just me.",,,Unlocked at Level 1.,Unlocked at Level 15.,CS2_041,,,,"{u'REQ_MINION_TARGET': 0, u'REQ_TARGET_TO_PLAY': 0}",SHAMAN,,FREE,[TAUNT],CORE,,,"Restore a minion
to full Health and
give it <b>Taunt</b>.",SPELL,6,94.0,203,0.463054187192
29,Ancestral Knowledge,46.8376464844,4.78787899017,,Zoltan & Gabor,,SHAMAN,,1.0,,2.0,2514.0,,,,,MOMMMMMYYYYYYYYY!!!,,,,,AT_053,[OVERLOAD],,2.0,,SHAMAN,,COMMON,,TGT,,,Draw 2 cards. <b>Overload:</b> (2),SPELL,6,1120.0,2388,0.469011725293
30,Ancestral Spirit,46.3386077881,2.85074329376,,Zoltan & Gabor,,SHAMAN,,1.0,,2.0,404.0,,,,,It was just a flesh wound.,,,,,CS2_038,,,,"{u'REQ_MINION_TARGET': 0, u'REQ_TARGET_TO_PLAY': 0}",SHAMAN,,RARE,[DEATHRATTLE],EXPERT1,,,"Give a minion ""<b>Deathrattle:</b> Resummon this minion.""",SPELL,6,915.0,1609,0.568676196395
31,Ancient Brewmaster,-4.08175468445,-12.2145709991,,Bernie Kang,5.0,NEUTRAL,,1.0,,4.0,186.0,,,,ALLIANCE,Most pandaren say his brew tastes like yak.  But apparently that's a compliment.,4.0,,,,EX1_057,[BATTLECRY],,,"{u'REQ_NONSELF_TARGET': 0, u'REQ_FRIENDLY_TARGET': 0, u'REQ_MINION_TARGET': 0, u'REQ_TARGET_IF_AVAILABLE': 0}",NEUTRAL,,COMMON,,EXPERT1,,Return a minion to your hand.,<b>Battlecry:</b> Return a friendly minion from the battlefield to your hand.,MINION,0,40.0,99,0.40404040404
32,Ancient Harbinger,-2.16650819778,27.1769046783,,Zoltan Boros,4.0,NEUTRAL,,1.0,,6.0,38873.0,,,,,"""honey, can u run down to the store and pick up some 10 cost minions? thx""",6.0,,,,OG_290,,,,,NEUTRAL,,EPIC,,OG,,,"At the start of your turn, put a 10-Cost minion from your deck into your hand.",MINION,0,19.0,53,0.358490566038
33,Ancient Mage,-5.11757278442,3.49549722672,,Howard Lyon,2.0,NEUTRAL,,1.0,,4.0,915.0,,,,,Sometimes he forgets and just wanders into someone else's game.,5.0,,,,EX1_584,[BATTLECRY],,,,NEUTRAL,,RARE,[SPELLPOWER],EXPERT1,,,<b>Battlecry:</b> Give adjacent minions <b>Spell Damage +1</b>.,MINION,0,11.0,23,0.478260869565
34,Ancient Shade,8.690325737,2.2011692524,,Slawomir Maniak,7.0,NEUTRAL,,1.0,,4.0,9081.0,,,,,Warning: Do not expose to direct sunlight.,4.0,,"Unlocked in the Temple of Orsis, in the League of Explorers adventure.","Crafting unlocked in the Temple of Orsis, in the League of Explorers adventure.",LOE_110,[BATTLECRY],,,,NEUTRAL,,RARE,,LOE,,,<b>Battlecry:</b> Shuffle an 'Ancient Curse' into your deck that deals 7 damage to you when drawn.,MINION,0,8.0,15,0.533333333333
35,Ancient Shieldbearer,3.32459402084,37.4437332153,,Alex Konstad,6.0,WARRIOR,,1.0,,7.0,38897.0,,,,,"Back in her day, each shield weighed two tons and she had to carry four of them on each arm!",6.0,,,,OG_301,"[BATTLECRY, RITUAL]",,,,WARRIOR,,RARE,,OG,,,"<b>Battlecry:</b> If your C'Thun has at least 10 Attack, gain 10 Armor.",MINION,7,2090.0,3393,0.61597406425
36,Ancient Watcher,-39.830291748,20.4306125641,,Richard Wright,4.0,NEUTRAL,,1.0,,2.0,605.0,,,,ALLIANCE,Why do its eyes seem to follow you as you walk by?,5.0,,,,EX1_045,[CANT_ATTACK],,,,NEUTRAL,,RARE,,EXPERT1,,,Can't attack.,MINION,0,1422.0,2972,0.478465679677
37,Ancient of Blossoms,10.8903856277,-18.9422874451,,Arthur Gimaldinov,3.0,NEUTRAL,,1.0,,6.0,40744.0,,,,,His new shampoo is really working!,8.0,,,,CFM_854,[TAUNT],,,,NEUTRAL,,COMMON,,GANGS,,,<b>Taunt</b>,MINION,0,232.0,452,0.513274336283
38,Ancient of Lore,4.9230298996,-32.0719032288,,Patrik Hjelm,5.0,DRUID,,1.0,,7.0,920.0,,,,,"Go ahead, carve your initials in him.",5.0,,,,NEW1_008,[CHOOSE_ONE],,,{u'REQ_TARGET_IF_AVAILABLE': 0},DRUID,,EPIC,,EXPERT1,,,<b>Choose One -</b> Draw a card; or Restore 5 Health.,MINION,5,81.0,174,0.465517241379
39,Ancient of War,2.93483114243,-39.5558891296,,Sean O’Daniels,5.0,DRUID,,1.0,,7.0,1035.0,,,,,"Young Night Elves love to play ""Who can get the Ancient of War to Uproot?""  You lose if you get crushed to death.",5.0,,,,EX1_178,[CHOOSE_ONE],,,,DRUID,,EPIC,[TAUNT],EXPERT1,,,"<b>Choose One -</b>
+5 Attack; or +5 Health and <b>Taunt</b>.",MINION,5,4570.0,8797,0.519495282483
40,Anduin Wrynn,-18.7306098938,16.6073246002,,,,PRIEST,,1.0,,,813.0,,,,,,30.0,,,,HERO_09,,,,,PRIEST,,FREE,,CORE,,,,HERO,4,8.0,16,0.5
41,Angry Chicken,-22.171415329,-30.0302524567,,Mike Sass,1.0,NEUTRAL,,1.0,,1.0,1688.0,,,,,There is no beast more frightening (or ridiculous) than a fully enraged chicken.,1.0,,,,EX1_009,[ENRAGED],,,,NEUTRAL,BEAST,RARE,,EXPERT1,,,<b>Enrage:</b> +5 Attack.,MINION,0,88.0,201,0.437810945274
42,Anima Golem,7.04813289642,1.9107837677,,Josh Harris,9.0,WARLOCK,,1.0,,6.0,2045.0,,,,,The Dark Animus is evil and mysterious and huge and unable to write sentences that utilize proper grammar.,9.0,,,,GVG_077,,,,,WARLOCK,MECHANICAL,EPIC,,GVG,,,"At the end of each turn, destroy this minion if it's your only one.",MINION,3,3.0,8,0.375
43,Animal Companion,-30.7390518188,-38.7392082214,,Wei Wang,,HUNTER,,1.0,,3.0,437.0,,,"[NEW1_032, NEW1_033, NEW1_034]",,"You could summon Misha, Leokk, or Huffer!  Huffer is more trouble than he's worth.",,,Unlocked at Level 2.,Unlocked at Level 45.,NEW1_031,,,,{u'REQ_NUM_MINION_SLOTS': 1},HUNTER,,FREE,,CORE,,,Summon a random Beast Companion.,SPELL,2,11179.0,22581,0.495062220451
44,Animated Armor,-10.3165950775,47.1486625671,,Mike Sass,4.0,MAGE,,1.0,,4.0,36111.0,,,,,"Try putting it on.  Wait, let me get my camera.",4.0,,"Unlocked in the Hall of Explorers, in the League of Explorers adventure.","Crafting unlocked in the Hall of Explorers, in the League of Explorers adventure.",LOE_119,,,,,MAGE,,RARE,,LOE,,,Your hero can only take 1 damage at a time.,MINION,9,44.0,95,0.463157894737
45,Animated Berserker,11.1544265747,35.6667442322,,Konstantin Turovec,1.0,WARRIOR,,1.0,,1.0,42810.0,,,,,He'd be a lot easier to animate if he would just stand still.,3.0,,,,ICC_238,,,,,WARRIOR,,COMMON,,ICECROWN,,,"After you play a minion, deal 1 damage to it.",MINION,7,77.0,190,0.405263157895
46,Animated Shield,2.72136616707,2.58074378967,,Anton Zemskov,0.0,NEUTRAL,,,,2.0,39308.0,,,,,,5.0,,,,KAR_710m,[TAUNT],,,,NEUTRAL,,,,KARA,,,<b>Taunt</b>,MINION,0,1.0,2,0.5
47,Annoy-o-Tron,-13.7978572845,7.88754558563,,Matt Dixon,1.0,NEUTRAL,,1.0,,2.0,2053.0,,,,,"The inventor of the Annoy-o-Tron was immediately expelled from Tinkerschool, Tinkertown, and was eventually exiled from the Eastern Kingdoms altogether.",2.0,,,,GVG_085,"[DIVINE_SHIELD, TAUNT]",,,,NEUTRAL,MECHANICAL,COMMON,,GVG,,,"<b>Taunt</b>
<b>Divine Shield</b>",MINION,0,384.0,802,0.478802992519
48,Anodized Robo Cub,-4.05481958389,-15.1043720245,,Eva Widermann,2.0,DRUID,,1.0,,2.0,2096.0,,,,,It's adorable! AND OH MY GOODNESS WHY IS IT EATING MY FACE,2.0,,,,GVG_030,"[CHOOSE_ONE, TAUNT]",,,,DRUID,MECHANICAL,COMMON,,GVG,,,"<b>Taunt</b>. <b>Choose One -</b>
+1 Attack; or +1 Health.",MINION,5,14.0,35,0.4
49,Anomalus,-2.00601434708,9.24927711487,,Kan Liu,8.0,MAGE,,1.0,,8.0,38463.0,,1.0,,,"That's short for ""Anomnomnomnomalus"".",6.0,,,,OG_120,[DEATHRATTLE],,,,MAGE,ELEMENTAL,LEGENDARY,,OG,,,<b>Deathrattle:</b> Deal 8 damage to all minions.,MINION,9,55.0,170,0.323529411765
50,Anti-Magic Shell,-29.8727474213,8.02577018738,,Gonzalo Ordonez,,DEATHKNIGHT,,,,4.0,45387.0,,,,,,,,,,ICC_314t7,"[CANT_BE_TARGETED_BY_SPELLS, CANT_BE_TARGETED_BY_HERO_POWERS]",,,,DEATHKNIGHT,,,,ICECROWN,,,"Give your minions +2/+2 and ""Can't be targeted by spells or Hero Powers.""",SPELL,10,341.0,496,0.6875
51,Antique Healbot,-11.8808441162,4.6260881424,,Jesper Ejsing,3.0,NEUTRAL,,1.0,,5.0,2037.0,,,,,"They don't make 'em like they used to! (Because of explosions, mostly.)",3.0,,,,GVG_069,[BATTLECRY],,,,NEUTRAL,MECHANICAL,COMMON,,GVG,,,<b>Battlecry:</b> Restore 8 Health to your hero.,MINION,0,714.0,1417,0.503881439661
52,Anub'Rekhan,19.5554485321,-7.61564922333,,,,NEUTRAL,,,,,1837.0,,,,,,30.0,,,,NAX1_01,,,,{u'REQ_NUM_MINION_SLOTS': 1},NEUTRAL,,,,NAXX,,,,HERO,0,0.0,1,0.0
53,Anub'ar Ambusher,4.66223144531,8.99693012238,,Nate Bowden,5.0,ROGUE,,1.0,,4.0,1810.0,,,,,"Originally he was called ""Anub'ar Guy who bounces a guy back to your hand"", but it lacked a certain zing.",5.0,,"Unlocked in The Arachnid Quarter, in the Naxxramas adventure.","Crafting unlocked in The Arachnid Quarter, in the Naxxramas adventure.",FP1_026,[DEATHRATTLE],,,,ROGUE,,COMMON,,NAXX,,,<b>Deathrattle:</b> Return a random friendly minion to your hand.,MINION,8,6.0,15,0.4
54,Anub'arak,13.5390167236,14.9740848541,,Eric Braddock,8.0,ROGUE,,1.0,,9.0,2586.0,,1.0,,,"Was actually a pretty nice guy before, you know, the whole Lich King thing.",4.0,,,,AT_036,[DEATHRATTLE],,,,ROGUE,,LEGENDARY,,TGT,,,<b>Deathrattle:</b> Return this to your hand and summon a 4/4 Nerubian.,MINION,8,127.0,202,0.628712871287
55,Anubisath Sentinel,-10.3123779297,19.3493175507,,Paul Mafayon,4.0,NEUTRAL,,1.0,,5.0,2933.0,,,,,He's actually a 1/1 who picked up the hammer from the last guy.,4.0,,"Unlocked in the Temple of Orsis, in the League of Explorers adventure.","Crafting unlocked in the Temple of Orsis, in the League of Explorers adventure.",LOE_061,[DEATHRATTLE],,,,NEUTRAL,,COMMON,,LOE,,,<b>Deathrattle:</b> Give a random friendly minion +3/+3.,MINION,0,34.0,86,0.395348837209
56,Anyfin Can Happen,25.714384079,-36.3519821167,,Ryan Metcalf,,PALADIN,,1.0,,10.0,2898.0,,,,,Theme song by Ellie Goldfin and Blagghghlrlrl Harris.,,,"Unlocked in The Ruined City, in the League of Explorers adventure.","Crafting unlocked in The Ruined City, in the League of Explorers adventure.",LOE_026,,,,,PALADIN,,RARE,,LOE,,,Summon 7 Murlocs that died this game.,SPELL,1,1073.0,1518,0.706851119895
57,Arathi Weaponsmith,13.348441124,32.6346740723,,Samwise,3.0,WARRIOR,,1.0,,4.0,538.0,,,,,"50% off fist weapons, limited time only!",3.0,,,,EX1_398,[BATTLECRY],,,,WARRIOR,,COMMON,,EXPERT1,,,<b>Battlecry:</b> Equip a 2/2 weapon.,MINION,7,391.0,894,0.437360178971
58,Arcane Anomaly,1.58869385719,-10.4704046249,,Alex Aleksandrov,2.0,NEUTRAL,,1.0,,1.0,39215.0,,,,,"He used to get work as a Spatial Anomaly, but he got tired of having his polarity reversed.",1.0,,"Unlocked in the Parlor, in One Night in Karazhan.","Crafting unlocked in the Parlor, in One Night in Karazhan.",KAR_036,,,,,NEUTRAL,ELEMENTAL,COMMON,,KARA,,,"Whenever you cast a spell, give this minion
+1 Health.",MINION,0,352.0,770,0.457142857143
59,Arcane Blast,-16.3455715179,51.844329834,,Gabor Szikszai,,MAGE,,1.0,,1.0,2572.0,,,,,Now with 100% more blast!,,,,,AT_004,[RECEIVES_DOUBLE_SPELLDAMAGE_BONUS],,,"{u'REQ_MINION_TARGET': 0, u'REQ_TARGET_TO_PLAY': 0}",MAGE,,EPIC,[SPELLPOWER],TGT,,,Deal $2 damage to a minion. This spell gets double bonus from <b>Spell Damage</b>.,SPELL,9,5919.0,11516,0.513980548802
60,Arcane Explosion,-14.913025856,53.765422821,,Howard Lyon,,MAGE,,1.0,,2.0,447.0,,,,,This spell is much better than Arcane Implosion.,,,Unlocked at Level 1.,Unlocked at Level 28.,CS2_025,,,,,MAGE,,FREE,,CORE,,,Deal $1 damage to all enemy minions.,SPELL,9,1353.0,2840,0.476408450704
61,Arcane Giant,16.8128547668,16.450334549,,Dan Scott,8.0,NEUTRAL,,1.0,,12.0,39426.0,,,,,"Claims to be drawn to Karazhan because of the ley lines. Actually, just loves Moroes’ cooking.",8.0,,"Unlocked in the Opera, in One Night in Karazhan.","Crafting unlocked in the Opera, in One Night in Karazhan.",KAR_711,,,,,NEUTRAL,,EPIC,,KARA,,,"[x]Costs (1) less for each spell
you've cast this game.",MINION,0,8097.0,14042,0.576627261074
62,Arcane Golem,-11.2138319016,-1.81809222698,,Sedhayu Ardian,4.0,NEUTRAL,,1.0,,3.0,466.0,,,,,"Having Arcane golems at home really classes up the place, and as a bonus they are great conversation pieces.",4.0,,,,EX1_089,[BATTLECRY],,,,NEUTRAL,,RARE,,EXPERT1,,,<b>Battlecry:</b> Give your opponent a Mana Crystal.,MINION,0,9.0,27,0.333333333333
63,Arcane Intellect,-13.3505306244,55.4266471863,,Dave Berggren,,MAGE,,1.0,,3.0,555.0,,,,,Playing this card makes you SMARTER.  And let's face it: we could all stand to be a little smarter.,,,Unlocked at Level 1.,Unlocked at Level 15.,CS2_023,,,,,MAGE,,FREE,,CORE,,,Draw 2 cards.,SPELL,9,18630.0,37121,0.501872255597
64,Arcane Missiles,-16.2072601318,53.6774978638,,Warren Mahy,,MAGE,,1.0,,1.0,564.0,,,,,You'd think you'd be able to control your missiles a little better since you're a powerful mage and all.,,,Unlocked at Level 1.,Unlocked at Level 32.,EX1_277,[ImmuneToSpellpower],,,,MAGE,,FREE,,CORE,,,Deal $3 damage randomly split among all enemies.,SPELL,9,6508.0,13079,0.497591558988
65,Arcane Nullifier X-21,-13.9575052261,2.94497418404,,Zero Yue,2.0,NEUTRAL,,1.0,,4.0,2059.0,,,,,There was some hard talk between gnome magi and engineers about inventing this mech.,5.0,,,,GVG_091,"[CANT_BE_TARGETED_BY_SPELLS, CANT_BE_TARGETED_BY_HERO_POWERS, TAUNT]",,,,NEUTRAL,MECHANICAL,RARE,,GVG,,,"<b>Taunt</b>
Can't be targeted by spells or Hero Powers.",MINION,0,22.0,88,0.25
66,Arcane Shot,-26.4256877899,-35.066192627,,Luca Zontini,,HUNTER,,1.0,,1.0,877.0,,,,,"Magi conjured arcane arrows to sell to hunters, until hunters learned just enough magic to do it themselves.  The resulting loss of jobs sent Stormwind into a minor recession.",,,Unlocked at Level 1.,Unlocked at Level 32.,DS1_185,,,,{u'REQ_TARGET_TO_PLAY': 0},HUNTER,,FREE,,CORE,,,Deal $2 damage.,SPELL,2,350.0,923,0.379198266522
67,Arcanite Reaper,20.3195858002,35.801776886,,Stefan Kopinski,5.0,WARRIOR,,1.0,,5.0,304.0,2.0,,,,No… actually you should fear the Reaper.,,,Unlocked at Level 10.,Unlocked at Level 51.,CS2_112,,,,,WARRIOR,,FREE,,CORE,,,,WEAPON,7,7842.0,16459,0.476456649857
